1	1
2	2
3	2
4	3
5	3
6	4
7	4
8	5
9	5
10	6
11	6
12	7
13	5
14	8
15	8
16	9
17	1
18	3
19	8
20	11
21	11
22	12
23	12
24	13
25	13
26	6
27	14
28	15
29	14
30	16
31	16
32	17
33	17
34	5
35	18
36	18
37	19
38	20
39	20
40	21
41	21
42	22
43	22
44	18
45	8
46	24
47	24
48	25
49	25
50	26
51	26
52	17
53	27
54	28
55	28
56	29
57	29
58	30
59	30
60	31
61	31
62	32
63	26
64	33
65	33
66	34
67	34
68	2
69	35
70	36
71	13
72	37
73	37
74	38
75	38
76	39
77	39
78	40
79	40
80	41
81	41
82	38
83	42
84	43
85	32
86	42
87	9
88	8
89	45
90	9
91	45
92	47
93	47
94	29
95	20
96	49
97	49
98	50
99	21
